"feature"	"smoking_coef"	"age_coef"	"direction_concordant"	"male_smoking_coef_maaslin2"	"male_stderr_maaslin2"	"male_pval_maaslin2"	"male_qval_maaslin2"	"male_ci_low_maaslin2"	"male_ci_high_maaslin2"	"same_direction_as_full_maaslin2"
"4420408"	-0.0434377489889831	-0.0011820009425621	TRUE	-0.356011510496254	0.108678431038467	0.00106649491664	0.0213298983328	-0.569021235331648	-0.143001785660859	TRUE
"4425571"	0.208017367	0.0061866629671291	TRUE	0.259316400442552	0.0919771996552748	0.00484614729830164	0.0374984299176619	0.0790410891182138	0.439591711766891	TRUE
"4434334"	0.0863773791363658	0.0023595862755126	TRUE	0.303413161884055	0.154447990537525	0.0495716859987033	0.123929214996758	0.000695100430506357	0.606131223337604	TRUE
"4438983"	0.064361875924373	0.0026149934073361	TRUE	0.252960222367094	0.154679066045327	0.102081197405979	0.163329915849567	-0.0502107470817471	0.556131191815934	TRUE
"4446320"	0.0405846529130698	0.0022362470753607	TRUE	0.0973227581239792	0.103677029591051	0.347960859438636	0.40936571698663	-0.10588421987448	0.300529736122439	TRUE
"4447072"	-0.0965781501525616	-0.0030000240234667	TRUE	-0.391511710360275	0.116925017824697	0.000823641389850783	0.0213298983328	-0.620684745296681	-0.16233867542387	TRUE
"4448492"	-0.059392986	-0.0029492589324373	TRUE	-0.338969490891221	0.146400597327011	0.0206660272954886	0.0688867576516287	-0.625914661652163	-0.0520243201302792	TRUE
"4454432"	0.0280429797669109	0.0015867725022141	TRUE	0.0949056480787637	0.0781438659983484	0.224660526279113	0.289884550037565	-0.0582563292779992	0.248067625435527	TRUE
"4457268"	0.244529315	0.0060367963787117	TRUE	0.331777371349472	0.122589395431392	0.00684308583481342	0.0374984299176619	0.0915021563039439	0.572052586395	TRUE
"4458306"	0.21916525	0.0026390038115553	TRUE	0.344972381224702	0.162593093755015	0.0339520138919437	0.097005753976982	0.0262899174648725	0.663654844984531	TRUE
"4467447"	-0.108156752897082	-0.004416799299283	TRUE	-0.168814820655122	0.145178475409375	0.245007001468538	0.306258751835672	-0.453364632457497	0.115734991147252	TRUE
"4474255"	-0.303164147	-0.0046441983408149	TRUE	-0.279242025041402	0.162401658359221	0.0856433825742822	0.155715241044149	-0.597549275425474	0.0390652253426705	TRUE
"4476578"	-0.0374309080111117	-0.0009805288243773	TRUE	-0.173201435986363	0.099012963058564	0.0803530663468657	0.153053459708316	-0.367266843581149	0.0208639716084225	TRUE
"4477861"	-0.0915216193308637	-0.0022951060791302	TRUE	-0.421932102224627	0.151081465202619	0.00526208915360116	0.0374984299176619	-0.71805177402176	-0.125812430427494	TRUE
"4481624"	0.0983518715345166	0.0071524894168236	TRUE	0.273135878207113	0.152134593410138	0.0727055981453933	0.145411196290787	-0.0250479248767578	0.571319681290984	TRUE
"4484034"	-0.112507004583399	-0.0017470802614001	TRUE	0.0229079152187147	0.131843332637268	0.862073797674757	0.884178254025392	-0.235505016750331	0.28132084718776	FALSE
"553611"	0.032946166	0.0039878945282052	TRUE	0.173548749662288	0.0915178576824894	0.058019158868241	0.136515667925273	-0.00582625139539086	0.352923750719968	TRUE
