feature	coef_smoking	stderr_smoking	pval_smoking	ci_low_smoking	ci_high_smoking	n_smoking	qval_smoking	coef_age	stderr_age	pval_age	ci_low_age	ci_high_age	n_age	qval_age	direction_concordant	both_fdr_sig
Lactobacillaceae	0.0009292427226736963	0.0019235256643074037	0.6290472767843059	-0.0028415716074545296	0.004700057052801922	5926	0.8849309147982609	0.0003062741642062	4.871006632704955e-05	3.5249045870622916e-10	0.0002107787407522	0.0004017695876603	4565	9.752236024205671e-09	True	False
Moraxellaceae	0.000646225909841219	0.0014850943762437063	0.6634757719637263	-0.00226510262579804	0.003557554445480478	5926	0.9178081512164881	-2.814041040900209e-05	3.80067618584257e-05	0.4590923351305516	-0.0001026521508246	4.63713300066112e-05	4565	0.5429102216740611	False	False
Intrasporangiaceae	-0.00010792878784287368	0.0002617740953386486	0.6801364034825377	-0.0006211018264333155	0.00040524425074756813	5926	0.922726038165445	-1.800960758512302e-05	6.452284991536121e-06	0.0052732619728834	-3.0659224676096405e-05	-5.3599904941496385e-06	4565	0.0118292092905224	True	False
Aerococcaceae	-0.00038265975262792703	0.0009569554977831196	0.6892652333284046	-0.0022586427827971014	0.001493323277541247	5926	0.922726038165445	-0.0001054431913494	2.3260188175871513e-05	5.958955269149118e-06	-0.0001510444743483	-5.98419083504743e-05	4565	3.532809195281263e-05	True	False
Micrococcaceae	0.00021874065120014807	0.0006398277071075741	0.7324576612196144	-0.00103555583755663	0.0014730371399569262	5926	0.9424916513809788	-5.438375729206348e-05	1.558189227728977e-05	0.0004872657046285	-8.493184546843295e-05	-2.3835669115694e-05	4565	0.0015555020570835	False	False
Sphingobacteriaceae	9.83691666623425e-05	0.00030036023894241973	0.7432983665894903	-0.0004904468362749648	0.0006871851695996498	5926	0.9424916513809788	-1.1758616917331672e-05	7.05342689008706e-06	0.0955677230016554	-2.558676453570505e-05	2.069530701041706e-06	4565	0.1468911297988407	False	False
Rhodobacteraceae	-0.00015888669492745993	0.0005056750114752679	0.7533748319803514	-0.0011501947991243808	0.0008324214092694608	5926	0.9424916513809788	-8.5710150726612e-06	1.171456506030788e-05	0.4644171775766065	-3.1537260766175004e-05	1.4395230620852608e-05	4565	0.5429102216740611	True	False
Enterobacteriaceae	0.002921103032996751	0.010118409209944624	0.7728272811296819	-0.01691468244933462	0.022756888515328123	5926	0.9424916513809788	0.0031177698175297	0.0002444339687122	1.2337487085079225e-36	0.0026385603417714	0.0035969792932881	4565	1.0240114280615755e-34	True	False
Synergistaceae	0.00024386117667618882	0.0008545052943443999	0.7753608411022319	-0.0014312819570362998	0.0019190043103886774	5926	0.9424916513809788	-3.470402018229422e-05	2.110131912106814e-05	0.1001137955681612	-7.607286972103716e-05	6.664829356448707e-06	4565	0.1510808187664979	False	False
Gemellaceae	-0.000195442969583659	0.000715858050294443	0.784848033021817	-0.0015987867587916333	0.001207900819624315	5926	0.9424916513809788	-5.494835725492761e-05	1.736468134925609e-05	0.0015644295887306	-8.899157919304632e-05	-2.0905135316808896e-05	4565	0.004521124565371	True	False
Phyllobacteriaceae	-7.120812921708568e-05	0.00026557512782561917	0.788610160191878	-0.000591832582694842	0.00044941632426067057	5926	0.9424916513809788	1.3733522529824154e-06	6.361031728711536e-06	0.8290747175812467	-1.1097364055625162e-05	1.3844068561589992e-05	4565	0.8710531842942213	False	False
Aeromonadaceae	-9.225257896245308e-05	0.0003631614179069451	0.7994840300783841	-0.000804181878479376	0.0006196767205544698	5926	0.9424916513809788	5.4416406427224167e-05	7.741728859138604e-06	2.390260375594884e-12	3.9238852147042416e-05	6.959396070740592e-05	4565	9.919580558718767e-11	False	False
Porphyromonadaceae	0.0005691430382941238	0.0023201321126670813	0.806227798169271	-0.003979165092227153	0.005117451168815401	5926	0.9424916513809788	-0.0001296458687488	5.66402925764091e-05	0.0221289036137463	-0.0002406883930564	-1.8603344441192607e-05	4565	0.040815533332021	False	False
Unclassified_RF39	-0.0012324407588505599	0.005436401569506185	0.8206636590609143	-0.011889777608061113	0.009424896090359992	5926	0.9460428291952206	-0.000137307382052	0.0001355739472844	0.3112163853671376	-0.0004030982643379	0.0001284835002338	4565	0.3798670586098886	True	False
Pseudomonadaceae	0.00014117631984980335	0.0008933691142702069	0.8744410361796937	-0.001610154125432829	0.0018925067651324357	5926	0.9860924709081454	-8.583755134456783e-05	2.2572381070015505e-05	0.0001449659210708	-0.0001300903978542	-4.1584704834876635e-05	4565	0.0005738258581216	False	False
Veillonellaceae	0.0009538742921426405	0.006274162032784993	0.8791667812915995	-0.011345779693129651	0.013253528277414932	5926	0.9860924709081454	-0.0001856392332462	0.0001531887796404	0.2256393140331956	-0.0004859637551213	0.0001146852886289	4565	0.2972708422977022	False	False
[Odoribacteraceae]	0.00014975890879967578	0.0012273269956064108	0.9028870306309102	-0.002256251215558228	0.00255576903315758	5926	0.986265989137486	-8.197112050587183e-05	2.9927564214112696e-05	0.0061869852170496	-0.0001406437036714	-2.3298537340273757e-05	4565	0.0131671736670543	False	False
Christensenellaceae	0.00012280997308536195	0.0011926336998849777	0.9179872973585629	-0.00221518859359319	0.002460808539763914	5926	0.986265989137486	8.196653865994317e-05	2.9297544836170128e-05	0.0051680340480911	2.452909992787846e-05	0.000139403977392	4565	0.0118292092905224	True	False
Leuconostocaceae	-6.00879490588709e-05	0.0006162151472030637	0.9223236604240097	-0.0012680951779886953	0.0011479192798709535	5926	0.986265989137486	-8.148626600296357e-06	1.5405487678946246e-05	0.5968707604979702	-3.835087595754057e-05	2.2053622756947854e-05	4565	0.6694631502882639	True	False
Unclassified_Bacteroidales	7.141516052645951e-05	0.0008703878625263206	0.9346098849552662	-0.001634863619988636	0.0017776939410415551	5926	0.986265989137486	4.157310440911302e-05	2.180027135846987e-05	0.0565836920317699	-1.1660314978868811e-06	8.431224031611292e-05	4565	0.0939289287727381	True	False
Clostridiaceae	0.00032179784453553907	0.004186639048192778	0.9387350980947156	-0.007885547038322626	0.008529142727393704	5926	0.986265989137486	0.0005442430128122	0.0001002702835077	6.00369727996658e-08	0.0003476644838662	0.0007408215417582	4565	9.065772353985152e-07	True	False
Bifidobacteriaceae	-0.00013486406426928537	0.0025058621819906667	0.9570808537756619	-0.005047271109578507	0.004777542981039936	5926	0.9910406747444032	-0.0002814011103636	6.101405878684545e-05	4.096401443035671e-06	-0.0004010183439223	-0.0001617838768049	4565	2.6153947674766204e-05	True	False
Eubacteriaceae	8.707849217793562e-06	0.00029295550417551857	0.9762880677771977	-0.0005655921633753541	0.0005830078618109413	5926	0.9910406747444032	-4.231016875736108e-06	7.206215728955543e-06	0.5571426542803786	-1.8358704937533175e-05	9.89667118606096e-06	4565	0.6334635658256359	False	False
Idiomarinaceae	8.079651072483746e-06	0.0004026528592332018	0.9839913638052866	-0.0007812673276746698	0.0007974266298196373	5926	0.9910406747444032	-3.022044374768774e-05	9.784986814718824e-06	0.002024185657435	-4.940377749825546e-05	-1.1037109997120016e-05	4565	0.0056002469855704	False	False
[Paraprevotellaceae]	2.9080542216684962e-05	0.0025896420165299862	0.9910406747444032	-0.005047565642979651	0.00510572672741302	5926	0.9910406747444032	-9.259747861613282e-06	6.334375471055698e-05	0.8837838143439638	-0.0001334443186367	0.0001149248229135	4565	0.9169257073818624	False	False
