feature	coef	stderr	pval	ci_low	ci_high	n	qval
Unclassified_Sphingomonadaceae	-0.00014759936017884359	0.0004278665394206882	0.7301312265558648	-0.0009863592282797356	0.0006911605079220485	6496	0.8760642297025985
Arthrobacter	7.211040202846381e-05	0.00021207156706254016	0.7338460105950337	-0.0003436199793614041	0.00048784078341833174	6496	0.8760642297025985
Unclassified_Aeromonadaceae	-9.356350372631237e-05	0.00032121939158513257	0.7708495654933135	-0.0007232597049814631	0.0005361326975288384	6496	0.9065114350893324
YRC22	0.00014054572407341167	0.0004896709190974722	0.7741056054824285	-0.0008193711604558846	0.001100462608602708	6496	0.9065114350893324
Phascolarctobacterium	-0.0010137977867565435	0.0035794187324367606	0.777009801505142	-0.008030641842759288	0.0060030462692462	6496	0.9065114350893324
Unclassified_Comamonadaceae	0.00019357754999811078	0.0007792625217409086	0.8038241385095203	-0.0013340346134497177	0.0017211897134459392	6496	0.924640605328481
Unclassified_Micrococcaceae	6.364464910616335e-05	0.00026273622679139503	0.8086035717740943	-0.0004514052148706996	0.0005786945130830263	6496	0.924640605328481
Christensenella	6.509726446071252e-05	0.00027306795302813665	0.8115844797667383	-0.0004702061985643889	0.000600400727485814	6496	0.924640605328481
Paracoccus	8.131761384054534e-05	0.00035535865005176655	0.8190063235543451	-0.0006153028203011176	0.0007779380479822083	6496	0.924640605328481
Erwinia	-4.623521841388743e-05	0.00020617715310328733	0.8225698891558565	-0.0004504105997757352	0.0003579401629479603	6496	0.924640605328481
Unclassified_RF39	-0.0009296332254200575	0.004817900828639125	0.8470010499862541	-0.010374311626829863	0.00851504517598975	6496	0.9452040702745155
Parabacteroides	0.0003508542964722303	0.00208826039529052	0.866578526672323	-0.003742826448195747	0.004444535041140207	6496	0.9600941950182572
Holdemania	0.0001171174680864836	0.0007712037981335819	0.8792995759439872	-0.0013946969329116457	0.0016289318690846128	6496	0.9635868076925052
Pseudomonas	-0.0001087081553435811	0.0007640715810887991	0.8868673545644162	-0.001606541053053679	0.0013891247423665166	6496	0.9635868076925052
WAL_1855D	0.00010308188575732932	0.0007495715484304393	0.8906232128158951	-0.0013663261542939964	0.001572489925808655	6496	0.9635868076925052
Unclassified_Carnobacteriaceae	2.2320677051418344e-05	0.0001687255948259494	0.8947591785716119	-0.0003084372687628766	0.00035307862286571327	6496	0.9635868076925052
Unclassified_Lachnospiraceae	0.0003895838212066991	0.003165988081932089	0.9020690774021101	-0.005816799481413287	0.0065959671238266845	6496	0.9647127633328122
Unclassified_Moraxellaceae	-9.831843217214776e-05	0.0009192066604555213	0.9148239524867388	-0.0019002673724305395	0.0017036305080862441	6496	0.9716061288479846
Unclassified_[Barnesiellaceae]	9.449836753770317e-05	0.0011878403839905602	0.9365938297293257	-0.0022340614800021334	0.0024230582150775396	6496	0.9879140395775079
Alistipes	2.6750920249682077e-05	0.0005969098412954259	0.9642556096725323	-0.0011433897045137129	0.001196891545013077	6496	0.9919247535781999
Catenibacterium	-6.60607446501702e-05	0.0015708517314425591	0.9664568735792609	-0.0031454494550988655	0.003013327965798525	6496	0.9919247535781999
Unclassified_Bacteroidales	3.077770869520245e-05	0.0007768597048966035	0.9683988157374248	-0.0014921241393768812	0.001553679556767286	6496	0.9919247535781999
Lactobacillus	-5.3095064035075046e-05	0.0015895804992128136	0.9733550968802123	-0.003169198350963483	0.003063008222893333	6496	0.9919247535781999
Rothia	1.3528737810776813e-05	0.0004908653429278607	0.9780131401811116	-0.0009487296122974584	0.0009757870879190121	6496	0.9919247535781999
Unclassified_Gemellaceae	1.657081792711002e-05	0.0006307832591129658	0.9790426139213402	-0.0012199729041647983	0.0012531145400190183	6496	0.9919247535781999
Cloacibacillus	-7.407667436096692e-06	0.0004414307228255483	0.9866118114414132	-0.0008727578192711664	0.000857942484398973	6496	0.9930602546534485
Unclassified_Bradyrhizobiaceae	5.709414036725622e-07	0.0002832856451319551	0.9983919854956649	-0.0005547625760699444	0.0005559044588772895	6496	0.9983919854956649
